CENTRAL,FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
LOS MINA 7,4/2/2017,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
LOS MINA 7,4/21/2017,,,,310,,,,,,,,,,,192,192,,,,,,,,
LOS MINA 5,8/12/2017,92.77,96.67,97.13,98.35,96.97,99.58,95.43,96.9,100.56,97.25,96.91,98.59,97.06,96.09,92.05,90.35,97.22,93.12,97.77,91.84,97.7,97.5,93.78,
LOS MINA 6,8/12/2017,105.01,103.65,104.48,105.6,106.03,105.99,106.16,105.04,103.69,102.85,102.05,101.25,101.61,102.39,102.9,102.6,102.19,102.84,103.03,102.85,103.16,103.02,103.51,
LOS MINA 5,8/13/2017,,,,,,,,,,,,,,,,,,,100.31,99.71,105.34,104.47,106.18,
LOS MINA 6,8/13/2017,,,,,,,,,,,,,,,,,,,102.63,106.26,108.42,108.19,108.08,
LOS MINA 5,8/14/2017,,,,,,,,,,,,,105.9,106.11,105.36,105.74,101.03,,,102.01,110.2,109.92,109.63,
LOS MINA 6,8/14/2017,,,,,,,,,,,,,105.12,104.61,104.97,105.87,102.91,,,103.87,108.82,108.78,109.02,
PARQUE ENERGETICO LOS MINA CC PARCIAL,10/17/2017,,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ENERGETICO LOS MINA CC TOTAL,10/17/2017,212,,315,315,315,315,,,,,,,,,,318,318,318,318,318,318,318,318,318
LOS MINA 5,3/29/2018,,,,,,,,,,,,,,,,,,105,,,,,,
LOS MINA 6,3/29/2018,,,,,,,,,,,,,,,,,,105,,,,,,
LOS MINA 5,11/21/2018,,,,,,,,,,,,,,,,,,105,105,105,105,105,,
LOS MINA 6,11/21/2018,,,,,,,,,,,,,,,,,,105,105,105,105,105,,
LOS MINA 5,11/22/2018,105,,,,,,,,,,,,,,,,,,,,,,,
LOS MINA 6,11/22/2018,105,,,,,,,,,,,,,,,,,,,,,,,
LOS MINA 5,11/23/2018,,,,,,,,,,,,,,,105,105,105,,,,,,,
LOS MINA 6,11/23/2018,,,,,,,,,,,,,,,105,105,105,,,,,,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/4/2018,212.5,213.31,212.76,212.87,233.8,,,,,,,,,,,,,,,,,,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/5/2018,,,292.4,290.55,,,,,,,,,,,,,,,,,,,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/9/2018,,212.1,211.06,211.7,212.55,212.4,212.72,211.7,211.42,210.43,208.05,207.18,207.22,208.23,208.55,208,208.98,209.87,209.43,210.49,211.84,212.22,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/10/2018,208.34,210.8,210.8,210.8,210.81,210.74,212.73,214.29,213.13,211.89,210.41,208.83,208.48,208.03,207.56,207.49,207.84,208.36,208.13,208.79,209.72,210.23,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/11/2018,211.55,213.64,201.65,200.17,197.85,198.7,202.7,201.36,200.17,199.3,196.97,198.24,194.47,197.83,199.4,199.7,,200.8,201.57,199.96,196.66,197.45,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/12/2018,200.3,200.41,200.18,200.81,201.13,201.29,202.76,201.47,,200.53,198.04,196.41,197.01,199.66,,202.66,203.19,200.04,202.74,199.78,199.04,198.45,,
PARQUE ENERGETICO LOS MINA CC TOTAL,12/13/2018,,,,,,,,,,,,,195.51,197.04,200.25,202.06,198.6,198.2,201.5,196.25,196.18,195.1,,295
PARQUE ENERGETICO LOS MINA CC TOTAL,2/5/2019,184.77,207.39,208.76,208.8,209.25,209.4,208.19,206.96,205.97,206.79,206.12,204.7,205.33,203.75,203.82,202.79,204.51,206.5,204.19,203.58,203.74,204.42,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/7/2019,,,,,,,216.81,216.97,216.18,213.48,213.16,211.47,211.12,209.68,208.02,209.53,210.58,211.51,212,213.49,216.05,216.68,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/8/2019,,,,,,,217.62,218.44,216.98,215.03,214.5,213.5,212.07,210.88,208.79,209.09,210.69,211.95,212.43,213.89,215.29,215.67,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/9/2019,212.95,214.9,214.41,213.98,213.22,214.39,214.24,214.13,212.68,213.56,214.56,214.7,213.29,212.73,212.04,213.6,206.32,212.79,213.16,214.58,215.87,216.37,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/10/2019,,,,,,,,,,,,,,,,213.96,213.07,212.09,212.43,214.59,216.52,217.14,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/11/2019,,,,,,,,,,,,,,,,209.14,210.35,212.46,213.76,215.14,215.58,215.83,,
LOS MINA 5,6/26/2019,,,,,,,,,,,,,105,,,,,,,,,,,
LOS MINA 6,6/26/2019,,,,,,,,,,,,,105,,,,,,,,,,,
LOS MINA 5,10/19/2020,,,,,,,,52,52,,,,,,,,,,,,,,,
LOS MINA 6,11/10/2020,,,,,,,,,,,,,,,,,,,71.4,,,,,
PARQUE ENERGETICO LOS MINA CC TOTAL,2/7/2021,,,,,,,,,,,,,,,,295,,,,,,,,
